Financial year ending March,Docklands Light Railway,London Trams,Nottingham Express Transit,"West Midlands Metro [notes 1, 2, 4]",Sheffield Supertram,Tyne and Wear Metro,Manchester Metrolink [note 3],Blackpool Tramway,England outside of London [note 5],England [note 5],Edinburgh Trams,Great Britain [note 5],London Underground,Glasgow Subway
1984,[w],[w],[w],[w],[w],49.8,[w],6.2,56,56,[w],56,[w],12.3
1985,[w],[w],[w],[w],[w],57.2,[w],6,63.2,63.2,[w],63.2,[w],12.7
1986,[w],[w],[w],[w],[w],59.1,[w],6.2,65.3,65.3,[w],65.3,[w],13.1
1987,[w],[w],[w],[w],[w],46.4,[w],6.2,52.6,52.6,[w],52.6,[w],13.7
1988,[w],[w],[w],[w],[w],44.9,[w],5.4,50.3,50.3,[w],50.3,[w],13.6
1989,6.6,[w],[w],[w],[w],45.4,[w],5.4,50.8,57.4,[w],57.4,[w],13.6
1990,8.5,[w],[w],[w],[w],45.5,[w],5.6,51.1,59.6,[w],59.6,[w],13.5
1991,8,[w],[w],[w],[w],43.6,[w],5.8,49.4,57.4,[w],57.4,[w],13.7
1992,7.9,[w],[w],[w],[w],40.6,[w],5,45.6,53.5,[w],53.5,[w],13.6
1993,6.9,[w],[w],[w],[w],38.9,8.1,5.2,52.2,59.1,[w],59.1,[w],13.5
1994,8.3,[w],[w],[w],[w],38.3,11.3,5.5,55.1,63.4,[w],63.4,[w],14.3
1995,11.3,[w],[w],[w],2.2,37,12.3,5.4,56.9,68.2,[w],68.2,[w],14.7
1996,14.5,[w],[w],[w],5.3,35.9,12.6,4.9,58.7,73.2,[w],73.2,[w],14.3
1997,16.7,[w],[w],[w],7.8,35.4,13.4,4.9,61.5,78.2,[w],78.2,[w],13.7
1998,21,[w],[w],[w],9.2,35,13.8,4.7,62.7,83.7,[w],83.7,[w],14.1
1999,27.6,[w],[w],[w],10.4,33.8,13.2,4.4,61.7,89.3,[w],89.3,[w],14.6
2000,31.3,[w],[w],4.8,10.9,32.7,14.2,4.3,66.9,98.2,[w],98.2,[w],14.7
2001,38.4,15,[w],5.4,11.1,32.5,17.2,4.1,70.3,123.6,[w],123.6,970,14.4
2002,41.3,18.2,[w],4.8,11.4,33.4,18.2,4.9,72.7,132.2,[w],132.2,953,13.8
2003,45.7,18.7,[w],4.9,11.5,36.6,18.8,4.5,76.3,140.7,[w],140.7,942,13.4
2004,48.5,19.8,0.4,5.1,12.3,37.9,18.9,3.7,78.3,146.5,[w],146.5,948,13.3
2005,50.1,22,8.5,5,12.8,36.8,19.7,3.9,86.6,158.7,[w],158.7,976,13.3
2006,53.5,22.5,9.8,5.1,13.1,35.8,19.9,3.6,87.3,163.4,[w],163.4,970,13.2
2007,63.9,24.6,10.1,4.9,14,37.9,19.8,3.4,90.1,178.6,[w],178.6,"1,040.00",13.5
2008,66.6,27.2,10.2,4.8,14.8,39.8,20,2.9,92.5,186.2,[w],186.2,"1,096.00",14.5
2009,67.8,27.2,9.8,4.7,15,40.6,21.1,2.3,93.6,188.6,[w],188.6,"1,089.00",14.1
2010,69.4,25.8,9,4.7,14.7,40.8,19.6,2.2,91,186.2,[w],186.2,"1,059.00",13.1
2011,78.3,27.9,9.7,4.8,15,39.9,19.2,1.6,90.3,196.5,[w],196.5,"1,107.00",13
2012,86.1,28.6,9,4.9,15,37.9,22.3,1.1,90.1,204.8,[w],204.8,"1,171.00",12.9
2013,100,30.1,7.4,4.8,14.4,37,25,3.7,92.3,222.5,[w],222.5,"1,229.00",12.6
2014,101.6,31.2,7.9,4.7,12.6,35.7,29.2,4.3,94.4,227.1,[w],227.1,"1,265.00",12.7
2015,110.2,30.7,8.1,4.4,11.5,38.1,31.2,4.1,97.3,238.2,4.1,242.4,"1,305.40",13
2016,116.9,27,12.2,4.8,11.6,40.3,34.3,4.9,108.1,252,5.3,257.3,"1,349.30",11.4
2017,122.3,29.5,16.4,6.2,12.6,37.7,37.8,5.1,115.9,267.7,5.8,273.5,"1,377.90",11.1
2018,119.6,29.1,17.8,5.7,12.3,36.4,41.2,5.2,118.6,267.2,6.8,274,"1,394.60",12.7
2019,121.8,28.7,18.8,8.3,11.9,36.4,43.7,5.2,124.4,274.8,7.5,282.3,"1,384.00",13.1
2020,116.8,27.2,18.7,8,10.5,33.1,44.3,4.8,119.4,263.4,7.1,270.6,"1,337.00",12.7
2021,39.7,11.6,3.4,3.4,2.8,9.4,10.3,1.1,30.4,81.7,0.9,82.6,296.1,2.5
2022,77.2,19.1,9.1,4.7,6.9,24.3,26,4.2,75.2,171.5,2.8,174.3,748,8
2023,92.3,20.9,14.4,5.4,8.4,29.3,36,4.9,98.3,211.5,5.3,216.8,"1,065.10",11.9
